codigo_postal,nombre,tipo,municipio_id,estado_id
21255,Residencial Puerta de Alcalá,Fraccionamiento,Mexicali,02
21255,Balboa Residencial,Fraccionamiento,Mexicali,02
21257,Misión de Loreto,Fraccionamiento,Mexicali,02
21258,El Lienzo,Fraccionamiento,Mexicali,02
21258,La Jolla,Fraccionamiento,Mexicali,02
21259,Rivera,Fraccionamiento,Mexicali,02
21260,Chapultepec los Pinos,Colonia,Mexicali,02
21260,Ampliación las Fuentes,Colonia,Mexicali,02
21260,1 de Diciembre,Colonia,Mexicali,02
21270,Jardines del Valle,Fraccionamiento,Mexicali,02
21270,Santa Rosalía,Colonia,Mexicali,02
21270,Santa Teresa,Colonia,Mexicali,02
21270,Vallarta,Colonia,Mexicali,02
21279,Plaza Universidad,Colonia,Mexicali,02
21280,Insurgentes Este,Colonia,Mexicali,02
21280,Insurgentes Oeste,Colonia,Mexicali,02
21280,Maestros Estatales,Colonia,Mexicali,02
21280,Reforma,Fraccionamiento,Mexicali,02
21280,Residencias,Fraccionamiento,Mexicali,02
21285,Residencias Imperiales,Colonia,Mexicali,02
21289,Universidad Autónoma Baja California,Equipamiento,Mexicali,02
21290,Independencia,Colonia,Mexicali,02
21290,Ampliación Independencia,Colonia,Mexicali,02
21297,Las Delicias,Fraccionamiento,Mexicali,02
21297,San Fernando,Fraccionamiento,Mexicali,02
21297,Villas del Rosario,Colonia,Mexicali,02
21297,Santa Fe,Fraccionamiento,Mexicali,02
21297,Villas Cachanillas,Fraccionamiento,Mexicali,02
21297,Hacienda de Lourdes,Colonia,Mexicali,02
21298,Hacienda el Pilar,Fraccionamiento,Mexicali,02
21298,San Jerónimo,Fraccionamiento,Mexicali,02
21298,Villa Colonial,Fraccionamiento,Mexicali,02
21298,Los Reyes,Fraccionamiento,Mexicali,02
21298,Rivera,Colonia,Mexicali,02
21298,Burócratas Federales,Fraccionamiento,Mexicali,02
21298,Maestros Democráticos de La Base,Fraccionamiento,Mexicali,02
21298,Misión de Santo Domingo,Fraccionamiento,Mexicali,02
21298,Misión de Santo Domingo Ampliación,Fraccionamiento,Mexicali,02
21298,Privada Rústica,Fraccionamiento,Mexicali,02
21298,Misión San Adrian,Fraccionamiento,Mexicali,02
21298,Residencial Los Ángeles,Fraccionamiento,Mexicali,02
21298,Misión de San Andrés,Fraccionamiento,Mexicali,02
21298,Bordo la Rivera,Colonia,Mexicali,02
21299,Misión de Guadalupe,Colonia,Mexicali,02
21299,De ANSA,Fraccionamiento,Mexicali,02
21300,División del Norte,Colonia,Mexicali,02
21307,Villanova,Fraccionamiento,Mexicali,02
21309,Parcela 62,Colonia,Mexicali,02
21309,Villas del Real,Fraccionamiento,Mexicali,02
21310,Morelos,Colonia,Mexicali,02
21320,Generales de México,Fraccionamiento,Mexicali,02
21320,Esteban Cantú,Colonia,Mexicali,02
21320,Felipe Ángeles,Colonia,Mexicali,02
21320,Joaquín Murrieta,Colonia,Mexicali,02
21320,Lucio Blanco,Colonia,Mexicali,02
21320,Madeira Residencia,Fraccionamiento,Mexicali,02
21320,Pedro Moreno,Colonia,Mexicali,02
21320,Vicente Guerrero,Colonia,Mexicali,02
21320,Camino Viejo,Fraccionamiento,Mexicali,02
21323,Residencial Barcelona III,Fraccionamiento,Mexicali,02
21323,Pacífica Residencial,Fraccionamiento,Mexicali,02
21323,San Fernando Regularización Corett,Colonia,Mexicali,02
21323,Voluntad,Colonia,Mexicali,02
21323,Reacomodo San Fernando,Colonia,Mexicali,02
21323,Casa Digna,Fraccionamiento,Mexicali,02
21323,Residencial Barcelona,Fraccionamiento,Mexicali,02
21323,Hacienda La Encantada,Fraccionamiento,Mexicali,02
21323,Residencial Barcelona II,Fraccionamiento,Mexicali,02
21324,Reacomodo Río Colorado,Colonia,Mexicali,02
21324,Zaragoza,Colonia,Mexicali,02
21326,Rivera de la Progreso,Colonia,Mexicali,02
21326,Las Pirámides,Colonia,Mexicali,02
21326,Valle de La Plata,Colonia,Mexicali,02
21326,Zona Progreso,Colonia,Mexicali,02
21326,Cucapah Progreso,Colonia,Mexicali,02
21326,Progreso,Colonia,Mexicali,02
21326,Pioneros de La Progreso,Colonia,Mexicali,02
21326,Jardines de La Progreso,Colonia,Mexicali,02
21326,La Gloria,Colonia,Mexicali,02
21326,Villa de Alarcón,Fraccionamiento,Mexicali,02
21326,Valle del Diamante,Fraccionamiento,Mexicali,02
21326,Valle del Progreso,Fraccionamiento,Mexicali,02
21326,Villa de Alarcón Segunda Etapa,Fraccionamiento,Mexicali,02
21326,Finca Los Jazminez,Fraccionamiento,Mexicali,02
21326,Ciudad del Sol,Colonia,Mexicali,02
21327,Hacienda de los Portales,Fraccionamiento,Mexicali,02
21327,Hacienda de los Portales 3ra. Sección,Fraccionamiento,Mexicali,02
21327,Mezquital,Colonia,Mexicali,02
21327,Fundadores,Fraccionamiento,Mexicali,02
